Tract,INTPTLAT,INTPTLON
36005038301,+40.8572074,-073.8985210
36005038302,+40.8574543,-073.8950057
36005039500,+40.8481986,-073.8966814
36005040303,+40.8696839,-073.8934711
36047022800,+40.6391243,-073.9815297
36047113400,+40.6677793,-073.8996082
36047115600,+40.6683267,-073.8958947
36047117800,+40.6816514,-073.8742881
36047087800,+40.6588465,-073.9310338
36047088200,+40.6604945,-073.9259818
36047089000,+40.6569877,-073.9154892
36047089400,+40.6615039,-073.9164852
36047093000,+40.6499290,-073.9154075
36047096200,+40.6450267,-073.9105174
36047098400,+40.6465779,-073.8917896
36047041401,+40.6017065,-073.9710654
36047041500,+40.6919502,-073.9143896
36047041800,+40.6054000,-073.9648516
36047043100,+40.6996605,-073.9196980
36047043800,+40.6103302,-073.9710944
36047032800,+40.5763672,-073.9976846
36047035100,+40.6684292,-073.9325473
36047073200,+40.6279281,-073.9336063
36047074000,+40.6273942,-073.9412567
36047074800,+40.6218931,-073.9468957
36047075400,+40.6214738,-073.9507115
36047076200,+40.6257185,-073.9564859
36047081800,+40.6530923,-073.9479752
36047082200,+40.6532888,-073.9544282
36047083000,+40.6408870,-073.9455028
36047083400,+40.6415499,-073.9384751
36047014900,+40.6624261,-073.9851815
36047015000,+40.6153783,-074.0107586
36047015300,+40.6681002,-073.9805759
36047016300,+40.6791843,-073.9700051
36047084600,+40.6422850,-073.9274549
36047090200,+40.6675531,-073.9150074
36047090600,+40.6701302,-073.9088595
36047016000,+40.6189797,-074.0268721
36047018000,+40.6083001,-074.0071512
36047020300,+40.6799568,-073.9648123
36047020500,+40.6774755,-073.9657037
36047021400,+40.6316104,-074.0031816
36047021700,+40.6727657,-073.9590256
36047024200,+40.6258678,-073.9928098
36047024400,+40.6217475,-073.9862364
36047026100,+40.6923989,-073.9457142
36047027700,+40.6868289,-073.9387604
36047000501,+40.6958143,-073.9947007
36047000502,+40.6951344,-073.9928614
36047001500,+40.6942482,-073.9829838
36047035601,+40.5808793,-073.9697026
36047035602,+40.5778298,-073.9702043
36047037401,+40.5879978,-073.9677550
36047037402,+40.5867880,-073.9720026
36047004400,+40.6330732,-074.0485191
36047005300,+40.6708307,-074.0291182
36047011900,+40.6754018,-073.9889703
36047015200,+40.6145072,-074.0244665
36047016600,+40.6187031,-074.0162624
36047021100,+40.6971660,-073.9750259
36047012600,+40.6348190,-074.0190415
36047027100,+40.6787956,-073.9369686
36047030500,+40.6773164,-073.9590603
36047028200,+40.6002500,-074.0054401
36047028800,+40.6045113,-073.9965623
36047029000,+40.6031741,-073.9943478
36047026500,+40.6869045,-073.9446206
36047040600,+40.6005116,-073.9823218
36047047600,+40.6305694,-073.9805808
36047054200,+40.6128027,-073.9609790
36047021900,+40.6719739,-073.9552592
36047025300,+40.6926218,-073.9503365
36047024900,+40.6829833,-073.9483904
36047025600,+40.6149950,-073.9856662
36047027800,+40.6068585,-074.0012211
36047028501,+40.6994266,-073.9420913
36047028900,+40.6930515,-073.9330041
36047029100,+40.6904272,-073.9335410
36047016900,+40.6592927,-073.9812838
36047036400,+40.5801614,-073.9638638
36047037300,+40.6839488,-073.9152154
36047008000,+40.6485749,-074.0100166
36047008800,+40.6502102,-074.0014031
36047009200,+40.6453168,-073.9993384
36047009800,+40.6437764,-074.0081153
36047010100,+40.6583907,-073.9998245
36047012801,+40.6308009,-074.0133027
36047013100,+40.6777175,-073.9796019
36047013500,+40.6728110,-073.9833133
36047014000,+40.6207782,-074.0196779
36047014100,+40.6654413,-073.9893778
36047017700,+40.6591256,-073.9697734
36047018100,+40.6877689,-073.9723701
36047018600,+40.6156439,-074.0051063
36047019300,+40.6912794,-073.9626407
36047035400,+40.5801329,-073.9726148
36047087401,+40.6604744,-073.9384588
36047088400,+40.6622281,-073.9245506
36047030300,+40.6751161,-073.9179373
36047031500,+40.6769132,-073.9499243
36047062600,+40.5923335,-073.9344391
36047034100,+40.6735662,-073.9445868
36047035300,+40.6685796,-073.9353139
36047064600,+40.6159147,-073.9395351
36047065400,+40.6129487,-073.9318078
36047118201,+40.6879085,-073.8718976
36047095600,+40.6355741,-073.9109186
36047096000,+40.6459270,-073.9147665
36047098600,+40.6449365,-073.8943196
36047102600,+40.6296068,-073.8984805
36047103400,+40.6332674,-073.8805974
36047107000,+40.6468884,-073.8639793
36047114201,+40.6790020,-073.9010285
36047080400,+40.6589744,-073.9489902
36047082600,+40.6450647,-073.9489732
36047085600,+40.6486244,-073.9448276
36047087000,+40.6541803,-073.9334039
36047004100,+40.6865996,-073.9850538
36047005201,+40.6214378,-074.0473154
36047089600,+40.6580074,-073.9124095
36047090800,+40.6713226,-073.9047719
36047093400,+40.6489251,-073.9190149
36047095400,+40.6389669,-073.9146325
36047096800,+40.6441418,-073.9038769
36047097000,+40.6472600,-073.9073530
36047099400,+40.6357597,-073.9043993
36047100400,+40.6306493,-073.9038000
36047118000,+40.6894826,-073.8777419
36047121000,+40.6700908,-073.8722448
36047019700,+40.6880022,-073.9667469
36047020100,+40.6838477,-073.9633875
36047021500,+40.6733751,-073.9632899
36047027200,+40.6081765,-073.9927384
36047035500,+40.6644050,-073.9334722
36047036502,+40.6747260,-073.9075430
36047039300,+40.6956280,-073.9300045
36047010800,+40.6411160,-074.0037106
36047012100,+40.6714790,-073.9910490
36047012902,+40.6808348,-073.9760333
36047013700,+40.6703973,-073.9853274
36047014300,+40.6636266,-073.9926558
36047001800,+40.6560973,-074.0308891
36047002300,+40.6995617,-073.9832799
36047002901,+40.6949933,-073.9780959
36047003400,+40.6445449,-074.0466996
36047003800,+40.6365238,-074.0474421
36047004500,+40.6881460,-073.9952870
36047005202,+40.6182440,-074.0463778
36047006300,+40.6819491,-074.0013351
36047006800,+40.6351749,-074.0262304
36047007100,+40.6830210,-073.9861157
36047007700,+40.6770200,-073.9952238
36047049200,+40.6408996,-073.9702106
36047050202,+40.6535104,-073.9752845
36047047400,+40.6286836,-073.9823658
36047047700,+40.7182181,-073.9421366
36047048200,+40.6332088,-073.9695313
36047048900,+40.7029206,-073.9392589
36047049000,+40.6381109,-073.9730323
36047049700,+40.7162166,-073.9445940
36047050100,+40.7157350,-073.9489203
36047088600,+40.6574880,-073.9206765
36047088800,+40.6539409,-073.9180852
36047091200,+40.6651290,-073.9076346
36047095000,+40.6362488,-073.9171451
36047056000,+40.6040855,-073.9514358
36047055100,+40.7139593,-073.9644095
36047055400,+40.6078701,-073.9600716
36047056200,+40.6045181,-073.9475034
36047057400,+40.6011498,-073.9443385
36047005400,+40.6167865,-074.0394733
36047059200,+40.5923379,-073.9514508
36047063600,+40.6099355,-073.9361433
36047064800,+40.6176898,-073.9364602
36047065200,+40.6147620,-073.9300726
36047066200,+40.6093052,-073.9243720
36047067600,+40.6249950,-073.9272011
36047069800,+40.6112503,-073.9170851
36047072000,+40.6288503,-073.9200467
36047073600,+40.6240357,-073.9357989
36047074200,+40.6269944,-073.9449753
36047074600,+40.6186094,-073.9426350
36047076600,+40.6331871,-073.9568420
36047077000,+40.6361362,-073.9538295
36047078000,+40.6344979,-073.9391486
36047078400,+40.6342624,-073.9429558
36047114202,+40.6823605,-073.8912824
36047117601,+40.6847798,-073.8768792
36047050500,+40.7080520,-073.9449451
36047046800,+40.6214965,-073.9806533
36047048400,+40.6342861,-073.9736271
36047015100,+40.6656890,-073.9825855
36047015400,+40.6111789,-074.0189191
36047015700,+40.6730524,-073.9764165
36047016500,+40.6699761,-073.9740401
36047017800,+40.6069686,-074.0047234
36047017900,+40.6842401,-073.9713282
36047019100,+40.6952427,-073.9644277
36047051400,+40.6427917,-073.9614284
36047078800,+40.6374655,-073.9488366
36047029200,+40.5972459,-074.0007128
36047029600,+40.6009574,-073.9930188
36047030400,+40.5902839,-073.9965003
36047030600,+40.5911556,-073.9861335
36047031900,+40.6668852,-073.9493978
36047032600,+40.5765295,-073.9882115
36047033700,+40.6694016,-073.9421813
36047034200,+40.5741077,-073.9968627
36047034900,+40.6682771,-073.9297782
36047041900,+40.6953233,-073.9210331
36047042900,+40.7017991,-073.9234556
36047043300,+40.6975220,-073.9159390
36047049300,+40.7078076,-073.9413538
36047049400,+40.6429660,-073.9738254
36047049800,+40.6454295,-073.9826813
36047050700,+40.7014096,-073.9470079
36047050900,+40.7032772,-073.9505646
36047030200,+40.5957121,-073.9906470
36047030800,+40.5865515,-073.9795108
36047020000,+40.6206890,-074.0088197
36047017600,+40.6019273,-074.0088041
36047018501,+40.6947866,-073.9741567
36047020200,+40.6220200,-074.0110215
36047020800,+40.6259761,-074.0097675
36047021800,+40.6343541,-073.9978229
36047022900,+40.6851317,-073.9567616
36047023300,+40.6887957,-073.9574901
36047024500,+40.6828810,-073.9519012
36047025100,+40.6878546,-073.9493878
36047025500,+40.6973919,-073.9512862
36047026400,+40.6148679,-073.9974816
36047026900,+40.6812827,-073.9433173
36047028100,+40.6926888,-073.9399286
36047028400,+40.6056742,-073.9989428
36047034800,+40.5812120,-073.9833628
36047044900,+40.7171351,-073.9303436
36047046000,+40.6321630,-073.9657330
36047048500,+40.7078399,-073.9363493
36047050801,+40.6512352,-073.9607363
36047050803,+40.6539088,-073.9606234
36047050804,+40.6528350,-073.9635730
36047051001,+40.6461218,-073.9597677
36047051002,+40.6487514,-073.9603672
36047051601,+40.6386227,-073.9567106
36047051602,+40.6416130,-073.9581408
36047056100,+40.7262636,-073.9568789
36047061003,+40.5814312,-073.9586937
36047061004,+40.5798742,-073.9557652
36047062000,+40.5788518,-073.9460579
36047069601,+40.6271699,-073.9153676
36047069602,+40.6227610,-073.9092489
36047076800,+40.6188042,-073.9608017
36047079601,+40.6565964,-073.9582723
36047079602,+40.6527603,-073.9576551
36047079801,+40.6600109,-073.9587186
36047079802,+40.6579907,-073.9613711
36047080800,+40.6573033,-073.9394864
36047092400,+40.6669331,-073.9114794
36047093200,+40.6375676,-073.9295091
36047094600,+40.6446169,-073.9232797
36047105801,+40.6492205,-073.8805957
36047105804,+40.6458585,-073.8831084
36047110400,+40.6574021,-073.8887862
36047111600,+40.6638632,-073.8756883
36047049500,+40.7123628,-073.9433572
36047053700,+40.7002979,-073.9599545
36047054300,+40.7014969,-073.9716023
36047055800,+40.6036536,-073.9553779
36047056500,+40.7302190,-073.9577630
36047056800,+40.6026717,-073.9378185
36047061002,+40.5720111,-073.9557682
36047062800,+40.5895880,-073.9273296
36047064200,+40.6121974,-073.9463939
36047068000,+40.6213764,-073.9251879
36047072400,+40.6341061,-073.9270557
36047072800,+40.6294856,-073.9270042
36047075000,+40.6265678,-073.9487660
36047076000,+40.6213569,-073.9547885
36047081600,+40.6535296,-073.9442053
36047082800,+40.6409911,-073.9496047
36047083200,+40.6415240,-073.9416243
36047085000,+40.6457434,-073.9323160
36047005601,+40.6131603,-074.0436073
36047005602,+40.6100021,-074.0412079
36047005800,+40.6190887,-074.0321884
36047005900,+40.6794028,-074.0061193
36047006400,+40.6289253,-074.0288094
36047009400,+40.6433565,-074.0013789
36047010400,+40.6366240,-074.0083814
36047013000,+40.6325873,-074.0213843
36047013200,+40.6279744,-074.0156708
36047020600,+40.6248807,-074.0154509
36047021000,+40.6276261,-074.0081561
36047022200,+40.6382394,-073.9929635
36047022700,+40.6815084,-073.9572531
36047023000,+40.6378160,-073.9842810
36047024800,+40.6213629,-073.9899931
36047025200,+40.6198289,-073.9921391
36047025700,+40.6982179,-073.9473443
36047026200,+40.6187285,-073.9970786
36047026700,+40.6839731,-073.9440382
36047018400,+40.6137054,-074.0071447
36047018700,+40.6946579,-073.9706403
36047019000,+40.6210380,-074.0003857
36047019500,+40.6914102,-073.9674997
36047019900,+40.6840329,-073.9669265
36047000900,+40.6917206,-073.9916018
36047002200,+40.6434585,-074.0216933
36047003700,+40.6893925,-073.9847008
36047004600,+40.6285788,-074.0495131
36047004700,+40.6883662,-074.0018662
36047006600,+40.6321309,-074.0274985
36047007400,+40.6418552,-074.0170288
36047007800,+40.6463204,-074.0123370
36047011200,+40.6422528,-073.9956749
36047012000,+40.6327817,-074.0117295
36047002100,+40.7034471,-073.9871024
36047003000,+40.6388788,-074.0289766
36047003300,+40.6885112,-073.9781063
36047050300,+40.7122018,-073.9474623
36047051900,+40.7157159,-073.9551571
36047053000,+40.6273634,-073.9637344
36047055500,+40.7180846,-073.9632608
36047055700,+40.7219984,-073.9593366
36047056900,+40.7237664,-073.9523673
36047057200,+40.5963688,-073.9382159
36047057300,+40.7280487,-073.9488300
36047057500,+40.7321052,-073.9532306
36047036200,+40.5781170,-073.9640009
36047036600,+40.5828706,-073.9637676
36047112000,+40.6666275,-073.8805197
36047113000,+40.6621721,-073.8964707
36047113200,+40.6612884,-073.8988885
36047117202,+40.6827365,-073.8837650
36047118400,+40.6843041,-073.8694100
36047118600,+40.6814659,-073.8677811
36047118800,+40.6790412,-073.8659139
36047119400,+40.6725527,-073.8770602
36047120800,+40.6713394,-073.8651840
36047121400,+40.6674943,-073.8651792
36047017200,+40.6088823,-074.0103463
36047017500,+40.6521348,-073.9902393
36047018200,+40.6124597,-074.0026813
36047018800,+40.6174779,-074.0027400
36047021600,+40.6327947,-073.9997692
36047022600,+40.6419840,-073.9863474
36047023200,+40.6360998,-073.9862206
36047023800,+40.6305112,-073.9914376
36047054800,+40.6092526,-073.9483771
36047037500,+40.6876200,-073.9215167
36047116200,+40.6699382,-073.8850349
36047116600,+40.6745627,-073.8822052
36047040100,+40.6864591,-073.9127408
36047033100,+40.6641582,-073.9420074
36047058200,+40.5985399,-073.9592618
36047059800,+40.5878962,-073.9362265
36047060800,+40.5839493,-073.9490961
36047063200,+40.5997604,-073.9315683
36047064400,+40.6137965,-073.9424791
36047065800,+40.6080828,-073.9312005
36047066000,+40.6090466,-073.9280800
36047067000,+40.6127246,-073.9227642
36047069000,+40.6199654,-073.9206701
36047069200,+40.6236755,-073.9200888
36047035900,+40.6704331,-073.9238643
36047036001,+40.5757896,-073.9655591
36047036100,+40.6695662,-073.9199592
36047036300,+40.6721757,-073.9169923
36047051200,+40.6465522,-073.9633627
36047051300,+40.7117914,-073.9521631
36047052300,+40.7116633,-073.9588070
36047053100,+40.7007289,-073.9541697
36047053400,+40.6225826,-073.9628302
36047053900,+40.7026477,-073.9625584
36047054500,+40.7052376,-073.9652859
36047056600,+40.6028525,-073.9414035
36047057600,+40.5998731,-073.9475710
36047058000,+40.5990067,-073.9554539
36047029300,+40.6874968,-073.9329582
36047114400,+40.6728096,-073.8985527
36047119800,+40.6763145,-073.8943861
36047123700,+40.6967384,-073.9567404
36047150200,+40.6546407,-073.9812779
36047990100,+40.5649788,-074.0148235
36047152200,+40.6439736,-073.9671841
36047093600,+40.6487962,-073.9215837
36047095800,+40.6408221,-073.9116859
36047097400,+40.6469841,-073.8997658
36047099000,+40.6393703,-073.8985620
36047109800,+40.6526617,-073.9016506
36047115000,+40.6739223,-073.8865225
36047120000,+40.6748774,-073.8672723
36047016100,+40.6798885,-073.9731895
36047016400,+40.6067615,-074.0301151
36047016800,+40.6029654,-074.0172662
36047039400,+40.5984930,-073.9650691
